@relation sentiment

@attribute first_person_pronouns numeric
@attribute second_person_pronouns numeric
@attribute third_person_pronouns numeric
@attribute coordinating_conjunctions numeric
@attribute past_tense_verbs numeric
@attribute future_tense_verbs numeric
@attribute commas numeric
@attribute colons numeric
@attribute dashes numeric
@attribute parantheses numeric
@attribute ellipses numeric
@attribute common_nouns numeric
@attribute proper_nouns numeric
@attribute adverbs numeric
@attribute wh_words numeric
@attribute slang_acronyms numeric
@attribute upper_case_words numeric
@attribute sentence_length numeric
@attribute token_length numeric
@attribute number_sentences numeric
@attribute class {0, 4}

@data
0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,4.0,3.83333333333,2,0
0,0,0,0,1,0,0,0,0,0,0,3,0,2,0,0,0,12.0,3.54545454545,1,0
1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,14.0,4.28571428571,1,0
2,0,0,1,2,0,1,0,0,0,0,7,0,0,0,0,0,18.0,4.0,1,0
0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,14.0,4.85714285714,1,0
0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,4.0,3.75,1,0
0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,10.0,3.6,1,0
0,0,0,1,1,0,0,0,0,0,0,2,3,2,0,0,0,4.66666666667,4.5,3,0
2,0,0,0,0,0,0,0,1,0,0,3,0,2,0,0,0,12.0,3.6,1,0
1,1,1,0,2,0,0,0,0,0,0,9,1,1,0,0,0,8.75,3.29032258065,4,0
0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,7.0,4.66666666667,1,0
2,0,0,0,2,0,1,0,0,0,0,4,1,4,0,1,1,11.0,3.68421052632,2,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2.0,6.0,1,0
2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,14.0,3.15384615385,1,0
1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5.0,4.0,1,0
0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,5.0,4.22222222222,2,0
3,0,2,0,0,0,0,0,0,0,0,4,0,1,0,0,0,9.0,3.875,2,0
0,0,1,1,1,0,0,0,1,0,0,3,0,1,0,0,0,14.0,4.53846153846,1,0
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5.0,4.75,1,0
1,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,9.0,4.0,1,0
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5.0,4.4,1,0
0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,3.5,3.83333333333,2,0
2,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,11.0,3.8,1,0
3,0,1,0,1,0,0,0,0,0,0,10,1,1,0,0,0,13.5,3.68,2,0
0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,6.5,5.18181818182,2,0
1,0,0,0,1,0,0,0,0,0,0,7,0,2,0,0,0,8.5,3.29411764706,2,0
1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4.0,3.71428571429,2,0
2,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,19.0,3.64705882353,1,0
0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,7.0,3.85714285714,1,0
0,0,0,0,1,0,0,0,0,0,0,8,1,0,0,0,0,7.66666666667,5.2380952381,3,0
1,0,0,1,2,0,0,0,0,0,0,9,0,0,0,0,0,8.0,2.95454545455,3,0
0,0,1,2,1,0,1,0,0,0,0,2,1,3,0,0,0,11.0,4.57894736842,2,0
0,1,0,0,1,0,0,0,0,0,0,3,0,3,1,0,0,20.0,4.15,1,0
2,0,2,0,0,0,0,0,0,0,1,5,1,1,0,0,0,21.0,3.52631578947,1,0
0,1,0,0,1,0,1,0,0,0,0,3,0,1,1,0,1,10.0,3.625,1,0
0,0,2,1,0,0,0,0,0,0,0,2,0,1,0,0,0,13.0,4.92307692308,1,0
0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,6.0,5.25,1,0
4,0,0,2,0,0,2,0,0,0,0,1,0,1,1,0,0,12.0,3.75,2,0
1,0,0,1,0,0,0,0,0,0,0,3,0,2,0,0,0,12.0,4.72727272727,1,0
2,3,1,0,3,0,1,0,0,0,0,6,0,3,1,1,0,10.3333333333,3.92592592593,3,0
0,0,1,1,0,0,1,0,0,0,0,8,0,0,0,0,0,16.0,4.0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,4.5,1,0
2,0,1,0,0,0,0,0,0,0,0,3,1,1,0,0,4,11.0,3.18181818182,1,0
0,0,0,1,0,0,0,0,0,0,1,8,0,3,0,0,0,9.0,4.23529411765,2,0
3,0,0,1,1,0,0,0,0,0,1,7,0,1,0,0,0,9.0,3.5625,2,0
1,1,0,1,0,0,0,0,0,0,0,6,0,1,1,1,0,9.5,4.0625,2,0
1,0,0,1,2,0,3,1,0,0,0,11,1,0,0,0,0,8.66666666667,3.21052631579,3,0
1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,8.0,3.75,1,0
1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,4.0,4.0,1,0
0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,9.0,3.44444444444,1,0
1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,12.0,3.75,1,0
1,0,1,1,0,0,0,0,0,0,0,4,0,1,0,1,0,6.33333333333,3.76470588235,3,0
0,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,10.0,4.88888888889,1,0
3,1,2,0,0,0,1,0,0,0,0,7,0,2,0,0,0,13.0,4.54166666667,2,0
1,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,5.5,4.5,2,0
0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,5.5,4.8,2,0
2,0,0,0,0,0,3,0,0,0,0,10,0,1,0,1,0,25.0,3.95454545455,1,0
0,0,0,0,0,0,1,0,0,0,0,6,1,0,0,0,0,11.0,6.66666666667,1,0
4,0,1,1,2,0,0,0,0,0,1,8,0,1,0,1,0,9.66666666667,3.56,3,0
0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,1,14.0,3.38461538462,1,0
0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,1,0,13.0,5.45454545455,1,0
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,9.0,4.125,1,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.0,6.5,1,0
2,0,0,0,0,1,1,0,0,0,0,5,0,0,0,0,0,8.5,2.8,2,0
3,0,0,1,1,0,1,0,0,0,0,4,0,0,0,0,1,7.0,4.16666666667,2,0
2,0,1,0,0,0,0,0,0,0,0,4,0,1,1,1,0,8.0,3.36363636364,3,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2.0,7.0,1,0
3,3,0,2,1,0,0,0,0,0,1,15,0,0,0,3,0,25.0,3.70833333333,1,0
1,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,11.0,3.45454545455,1,0
2,0,1,1,3,0,1,0,0,0,0,6,0,2,0,0,0,10.0,3.8,3,0
0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,10.0,4.11111111111,1,0
3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5.0,3.375,2,0
4,0,0,1,2,0,0,0,0,0,0,7,0,2,0,0,0,19.0,3.78947368421,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,3.0,1,0
0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,8.0,5.375,1,0
5,0,0,1,2,0,0,0,0,0,0,7,0,2,0,1,0,13.5,3.16,2,0
1,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0,0,8.0,3.42857142857,1,0
0,0,0,1,1,0,0,0,0,0,0,6,0,1,0,0,0,8.0,5.42857142857,2,0
1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,5.0,3.4,1,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,4.5,1,0
1,0,1,0,0,0,1,1,0,0,1,8,1,2,0,0,6,8.66666666667,3.59090909091,3,0
3,0,0,1,0,0,0,0,0,0,0,1,1,2,0,0,1,7.5,3.84615384615,2,0
0,2,0,0,1,0,1,0,0,0,0,11,0,0,0,0,0,22.0,4.1,1,0
0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7.0,4.46153846154,2,0
3,0,0,0,2,0,0,0,0,0,0,6,0,3,1,0,0,22.0,3.80952380952,1,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6.0,7.6,1,0
3,0,0,1,0,0,0,0,0,0,0,13,1,2,0,0,1,6.5,4.03846153846,4,0
1,0,1,1,0,0,0,0,0,0,0,2,0,3,0,0,0,23.0,4.22727272727,1,0
0,0,1,0,0,0,0,1,1,1,2,4,0,1,0,1,0,8.5,4.66666666667,2,0
1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,7.0,3.33333333333,1,0
1,0,1,1,2,0,0,0,0,0,0,3,0,0,1,0,0,8.0,4.53333333333,2,0
