@relation sentiment

@attribute first_person_pronouns numeric
@attribute second_person_pronouns numeric
@attribute third_person_pronouns numeric
@attribute coordinating_conjunctions numeric
@attribute past_tense_verbs numeric
@attribute future_tense_verbs numeric
@attribute commas numeric
@attribute colons numeric
@attribute dashes numeric
@attribute parantheses numeric
@attribute ellipses numeric
@attribute common_nouns numeric
@attribute proper_nouns numeric
@attribute adverbs numeric
@attribute wh_words numeric
@attribute slang_acronyms numeric
@attribute upper_case_words numeric
@attribute sentence_length numeric
@attribute token_length numeric
@attribute number_sentences numeric
@attribute class {0, 4}

@data
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,12.0,3.63636363636,1,0
0,0,0,0,0,0,0,2,0,0,0,3,0,2,0,1,0,6.0,5.0,2,0
1,0,0,0,1,0,0,0,0,0,0,7,0,1,0,1,0,13.0,3.53846153846,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,5.4,1,0
1,0,0,1,0,1,0,0,0,0,0,3,0,3,0,0,0,21.0,4.45,1,0
3,0,2,1,1,0,0,0,0,0,0,5,0,5,0,0,0,13.5,4.12,2,0
1,0,0,1,0,0,0,1,1,0,0,7,0,2,0,0,1,10.0,4.5,2,0
2,0,0,0,2,0,0,0,0,2,0,6,4,1,0,0,0,13.5,4.41666666667,2,0
0,1,1,1,2,0,2,0,0,0,1,8,0,2,0,0,0,11.3333333333,3.64285714286,3,0
1,2,0,1,0,0,0,0,0,0,0,8,0,0,0,0,8,14.0,5.0,1,0
2,0,1,2,2,0,0,0,0,0,0,8,0,2,0,0,0,20.0,4.2,1,0
3,1,1,0,0,0,0,0,0,0,1,5,0,1,0,1,0,6.33333333333,3.4375,3,0
0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,10.0,4.9,1,0
0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,0,0,10.0,5.22222222222,1,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,7.0,3.5,1,0
4,1,0,0,0,0,1,0,0,0,0,5,0,0,1,0,0,20.0,4.0,1,0
1,0,0,0,1,0,0,0,2,0,0,3,0,1,0,0,0,15.0,3.53846153846,1,0
1,0,0,0,0,0,0,0,0,0,2,4,0,1,0,1,0,8.0,3.76923076923,2,0
1,0,0,0,0,0,0,1,0,0,0,4,0,2,0,0,0,9.0,3.25,2,0
0,2,0,1,0,0,0,0,0,0,0,4,2,2,0,2,1,7.66666666667,3.55,3,0
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,4.0,2.66666666667,1,0
1,0,0,0,1,0,0,0,0,0,0,3,1,1,0,0,0,7.0,4.66666666667,2,0
1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3.66666666667,3.66666666667,3,0
1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8.0,3.5,1,0
1,2,0,1,1,0,0,0,0,0,1,4,1,0,0,0,0,13.0,3.75,1,0
0,2,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,10.0,4.35294117647,2,0
5,0,1,2,5,0,1,0,0,0,0,5,0,6,0,2,0,34.0,3.12121212121,1,0
4,0,0,0,1,0,0,0,0,0,0,6,2,1,0,0,0,8.0,4.2380952381,3,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.0,4.66666666667,1,0
1,0,1,0,0,0,0,0,0,0,0,3,0,1,0,1,0,8.0,4.57142857143,2,0
1,0,0,0,0,0,0,0,0,0,0,4,1,2,0,0,0,6.5,4.66666666667,2,0
0,0,0,0,0,0,0,0,3,0,0,8,3,1,0,0,0,21.0,6.75,1,0
1,0,1,1,0,0,0,0,0,0,0,4,0,1,0,0,0,13.0,4.61538461538,1,0
4,0,0,1,0,0,0,0,0,0,0,7,0,1,0,0,0,8.33333333333,3.82608695652,3,0
1,0,1,1,1,0,0,0,0,0,0,2,1,5,1,0,0,6.0,3.52,5,0
0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,9.0,4.77777777778,1,0
1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,6.0,3.16666666667,1,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5.0,4.6,1,0
0,0,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,16.0,3.5,1,0
1,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,17.0,4.17647058824,1,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,7.0,2.66666666667,1,0
2,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,8.0,3.6,2,0
1,1,0,1,0,0,0,1,1,1,0,5,0,0,0,0,0,7.5,4.3,2,0
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6.0,3.2,1,0
1,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,7.0,4.83333333333,1,0
1,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,7.5,3.53846153846,2,0
0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,7.0,3.85714285714,1,0
1,0,0,2,0,1,0,0,0,0,1,4,0,1,0,0,0,15.0,4.07692307692,1,0
3,0,0,0,1,0,0,0,0,0,0,6,0,1,0,0,0,7.0,3.92307692308,2,0
3,0,0,0,0,0,2,0,0,0,0,7,0,2,0,0,0,17.0,3.64285714286,1,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8.0,5.0,1,0
1,0,2,2,0,0,1,0,0,0,0,4,0,2,0,1,0,8.0,3.73684210526,3,0
