@relation sentiment

@attribute first_person_pronouns numeric
@attribute second_person_pronouns numeric
@attribute third_person_pronouns numeric
@attribute coordinating_conjunctions numeric
@attribute past_tense_verbs numeric
@attribute future_tense_verbs numeric
@attribute commas numeric
@attribute colons numeric
@attribute dashes numeric
@attribute parantheses numeric
@attribute ellipses numeric
@attribute common_nouns numeric
@attribute proper_nouns numeric
@attribute adverbs numeric
@attribute wh_words numeric
@attribute slang_acronyms numeric
@attribute upper_case_words numeric
@attribute sentence_length numeric
@attribute token_length numeric
@attribute number_sentences numeric
@attribute class {0, 4}

@data
4,0,1,1,1,0,3,0,0,0,0,9,0,4,0,0,0,12.3333333333,3.16666666667,3,0
2,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,8.0,3.625,1,0
2,0,1,1,0,0,1,0,0,0,0,4,0,1,0,0,0,9.0,4.5,2,0
1,1,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,4.0,3.7,3,0
2,0,2,1,3,0,3,0,0,0,0,4,0,2,0,0,0,8.66666666667,4.95,3,0
0,0,0,2,1,0,0,0,0,0,0,7,0,2,0,0,0,11.0,4.52380952381,2,0
0,0,0,2,0,0,0,0,0,0,2,6,0,5,0,1,1,34.0,3.64285714286,1,0
0,0,1,0,0,0,1,1,0,0,0,3,1,4,0,1,0,20.0,3.94444444444,1,0
0,0,0,0,0,1,0,0,0,0,0,3,1,1,0,0,1,4.5,4.875,2,0
1,0,2,0,0,2,1,1,0,0,1,8,0,3,0,0,0,27.0,4.16666666667,1,0
0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,7.0,5.14285714286,1,0
1,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,9.0,4.11111111111,1,0
1,0,0,0,2,0,1,0,0,0,1,4,0,0,0,0,0,18.0,4.5,1,0
2,0,0,1,0,0,1,0,1,0,0,3,0,0,0,0,0,25.0,3.27272727273,1,0
1,0,0,0,1,0,0,0,0,0,0,6,1,0,1,1,2,18.0,4.35294117647,1,0
1,0,0,0,1,0,1,0,0,0,1,6,0,1,0,0,0,27.0,3.0,1,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7.0,3.85714285714,1,0
0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,4.0,3.33333333333,1,0
1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10.0,4.55555555556,1,0
3,0,2,1,3,0,1,0,0,0,0,7,0,4,0,0,0,10.6666666667,3.67857142857,3,0
2,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,4.33333333333,4.6,3,0
1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5.5,4.3,2,0
1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,18.0,4.0,1,0
0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3.0,4.66666666667,1,0
