@relation sentiment

@attribute first_person_pronouns numeric
@attribute second_person_pronouns numeric
@attribute third_person_pronouns numeric
@attribute coordinating_conjunctions numeric
@attribute past_tense_verbs numeric
@attribute future_tense_verbs numeric
@attribute commas numeric
@attribute colons numeric
@attribute dashes numeric
@attribute parantheses numeric
@attribute ellipses numeric
@attribute common_nouns numeric
@attribute proper_nouns numeric
@attribute adverbs numeric
@attribute wh_words numeric
@attribute slang_acronyms numeric
@attribute upper_case_words numeric
@attribute sentence_length numeric
@attribute token_length numeric
@attribute number_sentences numeric
@attribute class {0, 4}

@data
4,0,0,1,1,0,1,0,0,0,0,4,4,1,0,0,1,11.3333333333,3.3,3,0
1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,3.0,4.4,2,0
1,0,1,0,1,0,0,0,0,0,0,3,0,1,0,0,0,5.5,3.8,2,0
0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,1,1,11.0,3.9,1,0
1,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,1,19.0,3.5,1,0
2,0,0,0,0,0,0,0,0,2,0,9,0,0,0,0,5,11.5,3.9,2,0
0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,9.0,4.875,1,0
1,1,1,0,0,0,0,0,0,0,0,2,1,1,0,0,1,10.0,4.44444444444,2,0
0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,4.5,5.125,2,0
3,0,0,2,1,0,0,0,0,0,0,13,1,1,0,0,0,13.5,4.19230769231,2,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,9.0,3.625,1,0
3,0,0,0,1,0,1,0,0,0,0,7,0,2,0,1,0,23.0,4.09090909091,1,0
1,0,1,2,0,0,0,0,2,0,0,4,1,0,0,0,0,29.0,4.17391304348,1,0
1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,8.0,4.57142857143,1,0
2,0,1,0,1,0,1,0,0,0,0,6,0,4,0,0,0,25.0,3.69565217391,1,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.0,7.0,1,0
3,0,1,0,1,0,0,0,0,0,1,5,0,3,0,1,0,7.33333333333,3.5,3,0
0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,1,7.0,4.23076923077,2,0
1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6.0,3.66666666667,1,0
0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,5.0,4.4,1,0
2,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,8.5,4.5,2,0
1,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,10.0,3.6,1,0
0,0,1,1,0,0,2,0,1,2,1,11,2,1,0,0,0,31.0,3.88,1,0
2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.0,3.4,1,0
1,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,5.66666666667,3.53333333333,3,0
1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,5.66666666667,3.92857142857,3,0
1,0,0,0,1,0,1,0,0,0,0,3,0,2,0,0,0,13.0,4.18181818182,1,0
1,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,10.0,4.1875,2,0
0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,3.5,4.66666666667,2,0
0,0,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,17.0,3.8125,1,0
0,0,1,0,2,0,1,0,0,0,0,4,0,2,0,0,0,14.0,3.91666666667,1,0
2,0,0,2,0,0,2,0,0,2,0,6,1,0,0,0,0,15.0,4.24,2,0
2,0,0,0,1,0,0,0,0,0,0,7,0,1,0,0,0,9.5,3.72222222222,2,0
0,0,0,0,1,0,1,0,0,0,0,11,0,4,0,2,0,8.75,3.81481481481,4,0
2,0,0,0,0,0,0,0,0,0,1,2,3,1,0,0,0,6.33333333333,3.1875,3,0
2,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,12.0,3.41666666667,1,0
0,0,2,0,0,1,0,0,1,0,0,7,1,1,0,0,0,9.33333333333,4.17391304348,3,0
1,0,0,0,2,0,0,0,1,0,0,12,0,0,0,0,0,9.66666666667,4.24,3,0
2,1,1,0,2,0,0,0,0,0,0,1,0,2,1,0,0,6.66666666667,4.22222222222,3,0
2,0,0,1,1,0,0,0,0,0,0,7,0,2,0,2,14,9.0,3.52941176471,2,0
